Run,StartObs,SampleSize,DetDensity,IndetDensity
1,1,2000,-911.50752235895,-902.089279019807
2,2001,2000,-803.663802976822,-797.29284033649
3,4001,2000,-820.160727088452,-820.926293694422
4,6001,2000,-825.460357183496,-826.070399868662
5,8001,2000,-828.767014153821,-828.576909303445
6,10001,2000,-776.001816154545,-774.904359325549
7,12001,2000,-896.088324681277,-893.436237732216
8,14001,2000,-735.056071445346,-727.854222234334
9,16001,2000,-793.107547397013,-791.733618676907
10,18001,2000,-854.042608475277,-848.776998258413
